joint,mean_err_px,median_err_px,max_err_px
0,470.3919142175,464.4849679736,615.5486944831
1,475.6043587803,469.1499439109,621.8380411116
2,471.6561399988,470.6386257566,589.5921754295
3,473.9769366254,474.6061465245,579.1350559775
4,473.0978491924,473.6900815257,590.2798051896
5,465.5433832344,458.6115456516,579.5852249465
6,465.6062607046,464.0935826972,563.0983358313
7,467.3646724774,466.3843160787,580.2631491325
8,465.7646478095,462.8164850875,588.5704937111
9,460.9581759535,453.4631752984,565.6073466139
10,465.4707667374,458.9794643997,570.0095370727
11,467.9859605458,459.7272841430,596.0804135183
12,468.9885662236,469.2801622183,597.6230104841
13,463.9982415425,455.2561468504,576.5054316270
14,473.5427365237,469.2114433975,589.9580562872
15,470.4610843822,469.3321609017,616.8177620752
16,462.3364216408,455.9903493505,617.8533781418
17,468.7949328204,457.7893466496,593.2780070886
18,471.7276490995,467.3169082118,585.9754083627
19,468.5046159761,463.2889446814,595.3819195422
20,458.4420930703,449.9505166249,591.7636380383
