joint,mean_err_px,median_err_px,max_err_px
0,15.940485023744534,14.039553205952906,53.956100315577956
1,16.97278296191454,13.612583819003659,63.442008212673336
2,14.45514601873438,11.733199255623619,66.49991904205399
3,12.702965372778545,10.914338781971438,62.01395360680156
4,13.131498275223466,11.460298656822742,57.25861524237673
5,13.85071033683625,11.637918215427817,41.48373631167093
6,13.829482263047842,10.83564127631077,42.4853061611335
7,12.89420103968446,8.880919212655778,60.659760409353346
8,16.960831362715265,12.54037272989853,74.67778497646569
9,14.628085012293377,11.699259211876214,41.445032191115125
10,13.010800867344278,9.321184394084787,51.313794438144086
11,14.97380137282296,11.250845406080408,51.30204357368765
12,19.284844021179982,15.940178467578622,68.7097402918603
13,17.600291522293738,12.522706964420982,69.55647197614358
14,14.49208435003302,10.544829088581924,66.7928658907441
15,18.486330585575363,15.036378686417148,62.203805336960365
16,26.74876628228057,23.7752648956153,76.87087900244275
17,22.105803797607983,17.154913999638737,95.55220267087844
18,19.67873072284574,16.33801848460524,88.63704134795942
19,22.85419557461935,20.399820161588767,68.18717376352204
20,28.491536211169873,24.34033903971303,87.92386382283775
